weather_data,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
271,Walvis Bay,NA,-22.9575,14.5053,58.15,94,8,8.05,clear sky
272,Edd,ER,13.9297,41.6925,90.84,36,5,5.32,clear sky
273,Kamenka,RU,51.3223,42.7678,51.39,56,100,12.1,overcast clouds
274,Poum,NC,-20.2333,164.0167,76.24,78,99,10.74,overcast clouds
275,Souillac,MU,-20.5167,57.5167,77.38,61,40,14.97,scattered clouds
276,Amazar,RU,53.858,120.875,43.92,48,93,7.05,overcast clouds
277,Ancud,CL,-41.8697,-73.8203,46.17,94,13,0.54,few clouds
278,Lagoa,PT,39.05,-27.9833,63.88,57,99,32.82,overcast clouds
279,Adrar,MR,20.5022,-10.0711,81.09,16,90,8.14,overcast clouds
280,San Patricio,US,28.017,-97.5169,67.86,39,50,6.89,scattered clouds
281,Kalabo,ZM,-14.97,22.6814,79.68,28,79,8.01,broken clouds
282,Geraldton,AU,-28.7667,114.6,79.21,38,0,17.27,clear sky
283,Sinnamary,GF,5.3833,-52.95,77.99,88,81,8.79,broken clouds
284,Aklavik,CA,68.2191,-135.0107,23.65,98,85,4.99,overcast clouds
285,Denpasar,ID,-8.65,115.2167,82.06,88,40,5.75,moderate rain
286,Halifax,CA,44.6453,-63.5724,58.89,97,88,24.16,light rain
287,Ngama,TD,11.7833,17.1667,81.99,34,53,5.23,broken clouds
288,Nueva Loja,EC,0.0847,-76.8828,71.01,98,97,1.34,overcast clouds
289,Bosobolo,CD,4.1833,19.9,73.69,92,100,1.7,overcast clouds
290,Sheridan,US,44.8333,-106.9173,54.3,57,0,0.0,clear sky
291,Miraflores,MX,19.2167,-98.8083,57.87,93,100,4.94,light rain
292,Oussouye,SN,12.485,-16.5469,75.38,86,99,7.14,overcast clouds
293,Gorin,RU,51.1983,136.6669,47.1,43,4,9.62,clear sky
294,Pevek,RU,69.7008,170.3133,19.27,91,100,7.07,light snow
295,Volot,RU,57.9278,30.7025,43.29,92,99,4.12,moderate rain
296,Warmbad,NA,-28.45,18.7333,79.88,35,5,8.1,clear sky
297,Ponta Do Sol,PT,32.6667,-17.1,71.71,75,100,12.03,overcast clouds
298,Kamaishi,JP,39.2667,141.8833,57.92,52,26,11.18,scattered clouds
299,Maraa,BR,-1.8333,-65.3667,72.73,97,76,1.79,broken clouds
300,Acarau,BR,-2.8856,-40.12,78.21,82,43,16.91,scattered clouds
301,Alofi,NU,-19.0595,-169.9187,76.89,83,100,3.44,overcast clouds
302,Tilichiki,RU,60.4667,166.1,29.64,89,100,13.06,light snow
303,Bara,NG,10.3744,10.7288,74.59,47,61,4.45,broken clouds
304,Agadez,NE,19.75,10.25,67.82,35,0,8.97,clear sky
305,Wajima,JP,37.4,136.9,61.48,47,20,6.91,few clouds
306,Zhezkazgan,KZ,47.8043,67.7144,49.98,43,0,15.66,clear sky
307,Katsuura,JP,35.1333,140.3,60.82,82,97,18.03,overcast clouds
308,Grindavik,IS,63.8424,-22.4338,41.47,93,100,9.22,light intensity drizzle
309,Willmar,US,45.1219,-95.0433,26.62,68,0,3.44,clear sky
310,Payson,US,40.0444,-111.7321,61.39,42,0,5.01,clear sky
311,Labuhan,ID,-6.8844,112.2051,83.07,74,100,7.18,heavy intensity rain
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,93,100,16.11,overcast clouds
313,Dauphin,CA,51.1494,-100.0502,46.54,31,20,4.61,few clouds
314,Kinablangan,PH,7.6947,126.5503,84.87,76,96,11.3,overcast clouds
315,Karasjok,NO,69.4719,25.5112,35.87,76,100,13.4,light rain
316,Mareeba,AU,-17.0,145.4333,87.44,60,37,10.63,scattered clouds
317,Guadalupe Y Calvo,MX,26.1,-106.9667,47.41,92,1,6.13,clear sky
318,Bumba,CD,2.1833,22.4667,73.08,96,87,2.17,light rain
319,San Policarpo,PH,12.1791,125.5072,84.69,73,100,10.09,overcast clouds
320,Grand Gaube,MU,-20.0064,57.6608,77.4,74,80,14.85,light rain
321,Torrington,US,41.8007,-73.1212,41.05,90,4,3.53,clear sky
322,Thurso,GB,58.5927,-3.5259,48.45,76,100,9.73,overcast clouds
323,Rosamorada,MX,22.1222,-105.2058,74.41,94,13,2.39,few clouds
324,Gotsu,JP,35.0,132.2167,62.74,58,6,9.17,clear sky
325,Jian,CN,27.1172,114.9793,77.09,18,20,10.51,few clouds
326,Pampa,US,35.5362,-100.9599,47.35,75,0,6.91,clear sky
327,Nome,US,64.5011,-165.4064,37.47,82,100,16.11,overcast clouds
328,Tarko-Sale,RU,64.9225,77.785,36.82,97,100,19.66,light rain
329,Marathon,US,44.9,-89.7668,31.95,82,0,11.5,clear sky
330,Pacasmayo,PE,-7.4006,-79.5714,60.15,87,99,8.84,overcast clouds
331,Miandrivazo,MG,-19.5167,45.4667,84.81,54,78,3.49,broken clouds
332,Vyartsilya,RU,62.1764,30.693,34.61,100,37,6.02,scattered clouds
333,Tautira,PF,-17.7333,-149.15,76.41,82,7,11.41,light rain
334,Komsomolskiy,UZ,40.4272,71.7189,48.92,81,75,29.93,light intensity shower rain
335,Nyzhnya Krynka,UA,48.1135,38.1606,52.56,44,79,8.5,broken clouds
336,Majene,ID,-3.5403,118.9707,86.16,70,100,5.28,overcast clouds
337,Lompoc,US,34.6391,-120.4579,61.93,83,0,0.0,clear sky
338,Eyemouth,GB,55.8713,-2.0901,46.81,85,91,15.48,overcast clouds
339,Pacific Grove,US,36.6177,-121.9166,68.54,73,0,4.61,clear sky
340,Lethem,GY,3.3803,-59.7968,74.89,89,74,5.39,broken clouds
341,Okhotsk,RU,59.3833,143.3,28.33,42,1,20.62,clear sky
342,Taoudenni,ML,22.6783,-3.9836,81.91,20,96,9.75,overcast clouds
343,Sisimiut,GL,66.9395,-53.6735,30.94,96,100,15.55,snow
344,Mangrol,IN,21.1167,70.1167,87.1,42,4,1.68,clear sky
345,Carberry,CA,49.8689,-99.3602,28.63,34,57,6.93,broken clouds
346,Vaitape,PF,-16.5167,-151.75,77.41,79,30,10.63,light rain
347,Ostrovnoy,RU,68.0531,39.5131,38.62,76,99,16.08,overcast clouds
348,Tarbagatay,RU,51.4803,107.3602,49.53,50,93,4.21,overcast clouds
