City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Constantine,DZ,2022-10-15 01:32:18,36.365,6.6147,56.61,88,0,0.0
172,Aksu,CN,2022-10-15 01:32:19,41.1231,80.2644,54.88,24,78,2.28
173,Gama,ES,2022-10-15 01:32:19,42.748,-4.2068,51.73,73,0,3.27
174,Bethel,US,2022-10-15 01:32:20,41.3712,-73.414,54.16,85,0,0.0
175,Dingle,PH,2022-10-15 01:32:21,10.9995,122.6711,86.0,71,50,7.18
176,Cururupu,BR,2022-10-15 01:32:21,-1.8283,-44.8683,75.51,87,80,3.18
177,San Cristobal,VE,2022-10-15 01:32:22,7.7669,-72.225,68.18,96,84,1.5
178,Vostok,RU,2022-10-15 01:32:22,46.4856,135.8833,55.44,63,33,3.0
179,Pevek,RU,2022-10-15 01:32:23,69.7008,170.3133,14.27,91,100,9.31
180,Visby,SE,2022-10-15 01:32:24,57.6409,18.296,53.82,94,100,9.22
181,Pocatello,US,2022-10-15 01:27:29,42.8713,-112.4455,65.89,34,0,4.61
182,Pingliang,CN,2022-10-15 01:33:24,35.5392,106.6861,57.61,36,99,7.43
183,Coquimbo,CL,2022-10-15 01:33:25,-29.9533,-71.3436,55.13,87,0,4.61
184,Bud,US,2022-10-15 01:33:25,39.447,-86.1758,62.98,33,100,7.9
185,Fairbanks,US,2022-10-15 01:33:26,64.8378,-147.7164,32.0,68,0,6.91
186,Faya,SA,2022-10-15 01:33:26,18.3851,42.4509,57.72,54,10,3.74
187,Camacha,PT,2022-10-15 01:33:27,33.0833,-16.3333,67.42,83,20,8.05
188,Vilhena,BR,2022-10-15 01:33:27,-12.7406,-60.1458,69.03,92,99,2.44
189,Saint-Joseph,RE,2022-10-15 01:33:28,-21.3667,55.6167,64.78,73,17,9.66
190,Krasnoselkup,RU,2022-10-15 01:33:29,65.7,82.4667,32.97,83,100,14.72
191,Lao Cai,VN,2022-10-15 01:33:29,22.4833,103.95,78.33,52,56,2.13
192,North Bend,US,2022-10-15 01:31:01,43.4065,-124.2243,66.92,89,75,8.05
193,Yulara,AU,2022-10-15 01:33:30,-25.2406,130.9889,78.1,23,2,18.39
194,Salalah,OM,2022-10-15 01:33:30,17.0151,54.0924,77.09,78,75,5.75
195,Westport,US,2022-10-15 01:31:00,41.1415,-73.3579,56.19,87,0,1.01
196,Grindavik,IS,2022-10-15 01:33:31,63.8424,-22.4338,37.87,81,75,20.71
197,Virginia,US,2022-10-15 01:29:05,37.5481,-77.4467,56.25,79,0,3.44
198,Belyy Yar,RU,2022-10-15 01:33:32,53.6039,91.3903,24.85,93,0,2.24
199,La Cruz,MX,2022-10-15 01:33:33,23.9167,-106.9,78.01,80,70,3.0
200,Asau,RO,2022-10-15 01:33:33,46.4333,26.4,47.32,92,99,2.66
201,Walvis Bay,NA,2022-10-15 01:33:34,-22.9575,14.5053,58.15,94,7,9.22
202,Dhidhdhoo,MV,2022-10-15 01:33:34,6.8833,73.1,81.41,78,100,11.14
203,Berlevag,NO,2022-10-15 01:33:34,70.8578,29.0864,35.6,87,100,6.91
204,Alihe,CN,2022-10-15 01:33:35,50.5667,123.7167,42.35,33,0,13.06
205,Itirapina,BR,2022-10-15 01:33:35,-22.2528,-47.8228,65.93,76,83,18.19
206,Castro,BR,2022-10-15 01:33:36,-24.7911,-50.0119,55.71,98,100,9.66
207,Acarau,BR,2022-10-15 01:33:36,-2.8856,-40.12,78.58,82,97,16.42
208,Tuatapere,NZ,2022-10-15 01:33:37,-46.1333,167.6833,64.08,41,0,1.03
209,Mount Gambier,AU,2022-10-15 01:33:37,-37.8333,140.7667,60.04,56,100,10.27
210,Caravelas,BR,2022-10-15 01:33:38,-17.7125,-39.2481,73.33,83,8,5.88
211,Bidar,IN,2022-10-15 01:33:38,17.9,77.55,71.42,95,99,8.7
212,Ribeira Grande,PT,2022-10-15 01:33:39,38.5167,-28.7,67.77,78,95,13.0
213,Sibolga,ID,2022-10-15 01:33:39,1.7427,98.7792,81.73,73,100,1.05
214,Gela,IT,2022-10-15 01:33:40,37.0803,14.2307,67.28,72,0,7.78
215,Armidale,AU,2022-10-15 01:32:39,-30.5167,151.65,65.16,39,0,3.6
216,Knyaze-Volkonskoye,RU,2022-10-15 01:33:40,48.4642,135.4567,53.94,68,9,4.79
