hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
211,Dharchula,IN,70.02,scattered clouds,29.85,80.5333,Mahara Hotel
217,Boende,CD,73.27,light rain,-0.2167,20.8667,
218,Bengkulu,ID,82.56,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
219,Rock Sound,BS,82.45,broken clouds,24.9,-76.2,Pink Corral Bay Property
220,Humaita,BR,72.23,heavy intensity rain,-7.5061,-63.0208,Corrêa Hotel
226,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
227,Langcangan,PH,81.84,overcast clouds,8.4794,123.7558,Daminar Riverside and Garden
229,Gushikawa,JP,74.43,overcast clouds,26.3544,127.8686,Kirari Guest House
231,Voi,KE,75.65,few clouds,-3.3945,38.563,Voi Wildlife Lodge
233,Asyut,EG,72.19,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
237,Ternate,ID,87.03,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
239,Nishihara,JP,74.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
244,Wamba,NG,70.92,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
245,Axim,GH,75.94,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
246,Tari,NG,75.4,scattered clouds,12.4086,4.4914,
250,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
254,Novo Aripuana,BR,72.1,scattered clouds,-5.1206,-60.3797,Hotel Ezequiel
257,Lazaro Cardenas,MX,77.56,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
259,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
261,Itigi,TZ,72.7,few clouds,-5.7,34.4833,SAAMBILI PUB 🍻 & LODGE
262,Benin,BJ,70.63,few clouds,9.5,2.25,
263,Port Elizabeth,ZA,72.1,fog,-33.918,25.5701,39 On Nile Guest House
265,Merauke,ID,81.48,overcast clouds,-8.4667,140.3333,
274,Poum,NC,76.24,overcast clouds,-20.2333,164.0167,
275,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
279,Adrar,MR,81.09,overcast clouds,20.5022,-10.0711,
281,Kalabo,ZM,79.68,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
282,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
283,Sinnamary,GF,77.99,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
285,Denpasar,ID,82.06,moderate rain,-8.65,115.2167,OYO 3156 Hotel Warta Dua
287,Ngama,TD,81.99,broken clouds,11.7833,17.1667,
288,Nueva Loja,EC,71.01,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
289,Bosobolo,CD,73.69,overcast clouds,4.1833,19.9,
292,Oussouye,SN,75.38,overcast clouds,12.485,-16.5469,Auberge du Routard
297,Ponta Do Sol,PT,71.71,overcast clouds,32.6667,-17.1,Hotel do Campo
299,Maraa,BR,72.73,broken clouds,-1.8333,-65.3667,
300,Acarau,BR,78.21,scattered clouds,-2.8856,-40.12,castelo pizzaria
301,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
303,Bara,NG,74.59,broken clouds,10.3744,10.7288,
311,Labuhan,ID,83.07,heavy intensity rain,-6.8844,112.2051,DoubleFAG
314,Kinablangan,PH,84.87,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
316,Mareeba,AU,87.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
318,Bumba,CD,73.08,light rain,2.1833,22.4667,Père Carlos
319,San Policarpo,PH,84.69,overcast clouds,12.1791,125.5072,Agapita M. Nicart
320,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
323,Rosamorada,MX,74.41,few clouds,22.1222,-105.2058,Hotel Gonzalez
325,Jian,CN,77.09,few clouds,27.1172,114.9793,Luling International Hotel
331,Miandrivazo,MG,84.81,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
333,Tautira,PF,76.41,light rain,-17.7333,-149.15,Pension Oaoa
336,Majene,ID,86.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
340,Lethem,GY,74.89,broken clouds,3.3803,-59.7968,Savannah Inn
342,Taoudenni,ML,81.91,overcast clouds,22.6783,-3.9836,
344,Mangrol,IN,87.1,clear sky,21.1167,70.1167,Hotel The Royal Honours
346,Vaitape,PF,77.41,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
349,Viransehir,TR,74.46,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
351,Sao Joao Da Barra,BR,72.77,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
357,Vao,NC,71.46,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
358,Atambua,ID,83.7,moderate rain,-9.1061,124.8925,Ros Muskanan
361,Kasempa,ZM,75.83,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
364,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
366,Comendador,DO,71.33,scattered clouds,18.8775,-71.7028,Babina De Los Santos
367,Progreso,MX,78.12,moderate rain,21.2833,-89.6667,Playa Linda Hotel
370,Koungheul,SN,76.75,overcast clouds,13.9833,-14.8,Miname
372,Flinders,AU,72.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
374,Benguela,AO,73.2,broken clouds,-12.5763,13.4055,Hotel Praia Morena
375,Kavaratti,IN,79.48,overcast clouds,10.5669,72.642,Green leaf
377,Tarakan,ID,80.1,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
378,Rondonopolis,BR,77.27,scattered clouds,-16.4708,-54.6356,Serras Hotel
379,Gigmoto,PH,82.45,moderate rain,13.7796,124.39,Cj's Travellers Inn
383,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
388,Yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
389,Zhicheng,CN,76.39,clear sky,30.2956,111.5047,Wangjiang Building
390,Bria,CF,71.28,broken clouds,6.5423,21.9863,WFP Guesthouse
393,Porbandar,IN,88.18,clear sky,21.6422,69.6093,Lords Inn Porbandar
